dataset,model,ablation,n_feat,f1,f1_std,prec,rec,dr,far,acc,mcc,auc,prauc
NSL-KDD,LightGBM,conventional,41,0.9873,0.0018,0.9873,0.9873,0.9883,0.014,0.9873,0.9741,0.9996,0.9997
NSL-KDD,RandomForest,conventional,41,0.9851,0.0012,0.9852,0.9851,0.9846,0.0141,0.9851,0.9697,0.9993,0.9995
NSL-KDD,LightGBM,entropy_only,7,0.9788,0.0012,0.9788,0.9788,0.9773,0.0194,0.9788,0.9568,0.9973,0.9978
NSL-KDD,RandomForest,entropy_only,7,0.9758,0.001,0.9759,0.9758,0.9742,0.022,0.9758,0.9508,0.996,0.9968
NSL-KDD,LightGBM,combined,48,0.9875,0.0021,0.9875,0.9875,0.9883,0.0136,0.9875,0.9745,0.9996,0.9997
NSL-KDD,RandomForest,combined,48,0.9857,0.0014,0.9858,0.9857,0.9844,0.0126,0.9857,0.9709,0.9994,0.9995
CICIDS-2017,LightGBM,conventional,78,0.9989,0.0003,0.9989,0.9989,0.9985,0.001,0.9989,0.9964,0.9999,0.9998
CICIDS-2017,RandomForest,conventional,78,0.9977,0.0002,0.9977,0.9977,0.9953,0.0017,0.9977,0.9928,0.9998,0.9993
CICIDS-2017,LightGBM,entropy_only,12,0.9551,0.0007,0.9607,0.9536,0.984,0.0539,0.9536,0.8698,0.9936,0.9709
CICIDS-2017,RandomForest,entropy_only,12,0.9463,0.0005,0.9535,0.9442,0.9751,0.0634,0.9442,0.8454,0.992,0.9664
CICIDS-2017,LightGBM,combined,90,0.9989,0.0002,0.9989,0.9989,0.9983,0.001,0.9989,0.9964,0.9999,0.9997
CICIDS-2017,RandomForest,combined,90,0.9977,0.0002,0.9977,0.9977,0.9953,0.0017,0.9977,0.9929,0.9998,0.9993
CICIDS-2018,LightGBM,conventional,78,0.7396,0.0017,0.7359,0.7461,0.4753,0.148,0.7461,0.3445,0.7346,0.6116
CICIDS-2018,RandomForest,conventional,78,0.7442,0.0017,0.7413,0.7567,0.4354,0.1176,0.7567,0.3526,0.7228,0.5995
CICIDS-2018,LightGBM,entropy_only,12,0.7084,0.0039,0.7035,0.7171,0.4114,0.1633,0.7171,0.264,0.6614,0.4807
CICIDS-2018,RandomForest,entropy_only,12,0.6973,0.001,0.6947,0.7002,0.4362,0.1965,0.7002,0.2445,0.6545,0.4413
CICIDS-2018,LightGBM,combined,90,0.7405,0.0029,0.7368,0.7467,0.4784,0.1483,0.7467,0.347,0.7342,0.6107
CICIDS-2018,RandomForest,combined,90,0.7443,0.0018,0.7415,0.7571,0.4334,0.1163,0.7571,0.3529,0.7231,0.5999
UNSW-NB15,LightGBM,conventional,41,0.9926,0.0002,0.993,0.9925,0.9891,0.0073,0.9925,0.9479,0.9996,0.995
UNSW-NB15,RandomForest,conventional,41,0.9898,0.0004,0.9907,0.9895,0.9973,0.0111,0.9895,0.9303,0.9995,0.9933
UNSW-NB15,LightGBM,entropy_only,11,0.9887,0.0004,0.9896,0.9883,0.9887,0.0117,0.9883,0.9221,0.999,0.9881
UNSW-NB15,RandomForest,entropy_only,11,0.9875,0.0005,0.9888,0.9871,0.9906,0.0132,0.9871,0.9152,0.9987,0.9832
UNSW-NB15,LightGBM,combined,52,0.9927,0.0003,0.993,0.9926,0.9895,0.0072,0.9926,0.9484,0.9996,0.995
UNSW-NB15,RandomForest,combined,52,0.99,0.0004,0.9909,0.9897,0.9971,0.0108,0.9897,0.9317,0.9995,0.9933
