dataset,model,f1,f1_std,prec,rec,dr,far,acc,mcc,auc,prauc
NSL-KDD,LightGBM,0.9875,0.0021,0.9875,0.9875,0.9883,0.0136,0.9875,0.9745,0.9996,0.9997
NSL-KDD,Random Forest,0.9857,0.0014,0.9858,0.9857,0.9844,0.0126,0.9857,0.9709,0.9994,0.9995
NSL-KDD,XGBoost,0.9878,0.0014,0.9878,0.9878,0.989,0.0138,0.9878,0.9751,0.9995,0.9997
NSL-KDD,CatBoost,0.9878,0.0019,0.9878,0.9878,0.9873,0.0116,0.9878,0.9751,0.9995,0.9996
NSL-KDD,MLP,0.9697,0.0062,0.9698,0.9697,0.9766,0.0393,0.9697,0.9384,0.9865,0.9813
NSL-KDD,TabNet,0.9705,0.003,0.9705,0.9705,0.975,0.0355,0.9705,0.9398,0.9961,0.9967
NSL-KDD,FT-Transformer,0.9818,0.0018,0.9818,0.9818,0.9836,0.0206,0.9818,0.9629,0.9985,0.9989
CICIDS-2017,LightGBM,0.9989,0.0002,0.9989,0.9989,0.9983,0.001,0.9989,0.9964,0.9999,0.9997
CICIDS-2017,Random Forest,0.9977,0.0002,0.9977,0.9977,0.9953,0.0017,0.9977,0.9929,0.9998,0.9993
CICIDS-2017,XGBoost,0.9987,0.0002,0.9987,0.9987,0.9975,0.0011,0.9987,0.9958,0.9999,0.9997
CICIDS-2017,CatBoost,0.9982,0.0003,0.9983,0.9982,0.9986,0.0018,0.9982,0.9945,0.9998,0.9994
CICIDS-2017,MLP,0.9369,0.008,0.9382,0.9362,0.871,0.0478,0.9362,0.804,0.9381,0.7816
CICIDS-2017,TabNet,0.9687,0.007,0.9693,0.9692,0.8861,0.0104,0.9692,0.9012,0.9907,0.9711
CICIDS-2017,FT-Transformer,0.9728,0.0013,0.9746,0.9723,0.9832,0.0304,0.9723,0.9177,0.9972,0.9899
CICIDS-2018,LightGBM,0.7405,0.0029,0.7368,0.7467,0.4784,0.1483,0.7467,0.347,0.7342,0.6107
CICIDS-2018,Random Forest,0.7443,0.0018,0.7415,0.7571,0.4334,0.1163,0.7571,0.3529,0.7231,0.5999
CICIDS-2018,XGBoost,0.7467,0.0017,0.8064,0.7881,0.2867,0.0159,0.7881,0.4212,0.7328,0.6092
CICIDS-2018,CatBoost,0.7429,0.0024,0.7397,0.7551,0.4355,0.1199,0.7551,0.3492,0.727,0.6
CICIDS-2018,MLP,0.6795,0.0307,0.7121,0.7401,0.1688,0.0364,0.7401,0.2203,0.6231,0.4309
CICIDS-2018,TabNet,0.7134,0.0067,0.7825,0.7668,0.2178,0.0184,0.7668,0.3435,0.6495,0.5111
CICIDS-2018,FT-Transformer,0.719,0.0115,0.7241,0.7392,0.3624,0.1135,0.7392,0.2975,0.6683,0.5067
UNSW-NB15,LightGBM,0.9927,0.0003,0.993,0.9926,0.9895,0.0072,0.9926,0.9484,0.9996,0.995
UNSW-NB15,Random Forest,0.99,0.0004,0.9909,0.9897,0.9971,0.0108,0.9897,0.9317,0.9995,0.9933
UNSW-NB15,XGBoost,0.9935,0.0001,0.9936,0.9935,0.9626,0.004,0.9935,0.9531,0.9995,0.9942
UNSW-NB15,CatBoost,0.9897,0.0004,0.9906,0.9893,0.9984,0.0114,0.9893,0.9293,0.9995,0.9933
UNSW-NB15,MLP,0.9417,0.001,0.941,0.9426,0.5809,0.0285,0.9426,0.5693,0.7765,0.394
UNSW-NB15,TabNet,0.9867,0.0013,0.9877,0.9863,0.9747,0.0128,0.9863,0.9082,0.9963,0.9393
UNSW-NB15,FT-Transformer,0.9881,0.0005,0.9894,0.9876,0.9997,0.0133,0.9876,0.9194,0.9989,0.9858
