ablation,window,flow_start,flow_end,n_flows,n_attack,latency_ms,fixed_dr,fixed_far,fixed_mcc,fixed_f1,fixed_auc,fixed_prauc,youden_dr,youden_far,youden_mcc,youden_f1,youden_auc,youden_prauc
conventional,1,0,35162,35162,7,364.484,0.1429,0.0003,0.1089,0.9996,0.9974,0.1351,0.1429,0.0003,0.1089,0.9996,0.9974,0.1351
conventional,2,35162,70324,35162,365,395.784,0.137,0.0001,0.351,0.9876,0.9069,0.3872,0.0986,0.0001,0.2925,0.9867,0.9069,0.3872
conventional,3,70324,105486,35162,17541,341.539,0.0002,0.0002,0.0,0.3347,0.6992,0.5865,0.0002,0.0002,0.0,0.3347,0.6992,0.5865
conventional,4,105486,140648,35162,34738,317.083,0.0,0.0,0.0,0.0003,0.7016,0.9866,0.0,0.0,0.0,0.0003,0.7016,0.9866
conventional,5,140648,175810,35162,33298,464.532,0.0003,0.0,0.0038,0.0059,0.8788,0.9827,0.0002,0.0,0.0031,0.0057,0.8788,0.9827
conventional,6,175810,210972,35162,33388,480.574,0.0004,0.0,0.0046,0.0056,0.9499,0.9905,0.0003,0.0,0.0041,0.0055,0.9499,0.9905
conventional,7,210972,246134,35162,23467,445.322,0.001,0.0005,0.0082,0.1674,0.8433,0.84,0.0008,0.0005,0.0052,0.1671,0.8433,0.84
conventional,8,246134,281296,35162,16126,387.347,0.0054,0.0001,0.0525,0.3858,0.6824,0.5468,0.004,0.0001,0.0449,0.3844,0.6824,0.5468
conventional,9,281296,316458,35162,7364,331.365,0.2174,0.0004,0.4224,0.7909,0.9765,0.9328,0.2174,0.0003,0.4226,0.7909,0.9765,0.9328
conventional,10,316458,351620,35162,25356,351.533,0.1852,0.0,0.2442,0.3612,0.8848,0.9585,0.1852,0.0,0.2442,0.3612,0.8848,0.9585
conventional,11,351620,386782,35162,26692,337.047,0.1611,0.0,0.2103,0.3144,0.8491,0.954,0.1611,0.0,0.2103,0.3144,0.8491,0.954
conventional,12,386782,421944,35162,24672,345.147,0.2459,0.0,0.2977,0.4351,0.8447,0.9382,0.2459,0.0,0.2977,0.4351,0.8447,0.9382
conventional,13,421944,457106,35162,24338,341.56,0.1903,0.0,0.2598,0.3825,0.8191,0.9139,0.1903,0.0,0.2598,0.3825,0.8191,0.9139
conventional,14,457106,492268,35162,19605,353.567,0.0973,0.0005,0.2118,0.3807,0.8788,0.8975,0.097,0.0004,0.2117,0.3805,0.8788,0.8975
conventional,16,527430,562592,35162,2,323.784,0.0,0.0001,-0.0001,0.9998,0.8523,0.0003,0.0,0.0001,-0.0001,0.9999,0.8523,0.0003
conventional,17,562592,597754,35162,168,311.598,0.0,0.0001,-0.0008,0.9928,0.8063,0.0129,0.0,0.0001,-0.0005,0.9928,0.8063,0.0129
conventional,18,597754,632916,35162,1264,288.881,0.0,0.0002,-0.0027,0.9463,0.817,0.0921,0.0,0.0002,-0.0027,0.9463,0.817,0.0921
conventional,19,632916,668078,35162,174,342.89,0.0,0.0004,-0.0014,0.9924,0.8634,0.0245,0.0,0.0004,-0.0014,0.9924,0.8634,0.0245
conventional,20,668078,703245,35167,358,445.826,0.0,0.0007,-0.0027,0.9844,0.8651,0.0537,0.0,0.0006,-0.0025,0.9845,0.8651,0.0537
entropy_only,1,0,35162,35162,7,526.107,0.0,0.0236,-0.0022,0.9878,0.7455,0.001,0.0,0.0236,-0.0022,0.9878,0.7455,0.001
entropy_only,2,35162,70324,35162,365,449.246,0.0493,0.0198,0.0213,0.9752,0.8146,0.0445,0.0493,0.0198,0.0213,0.9752,0.8146,0.0445
entropy_only,3,70324,105486,35162,17541,430.608,0.0001,0.0251,-0.1123,0.329,0.5716,0.5365,0.0001,0.0251,-0.1123,0.329,0.5716,0.5365
